     0.623144     0.701820     0.765093     0.816251     0.857804     0.891672
     0.919252     0.941639     0.959599     0.973784     0.984672     0.992552
     0.997623      1.00000      1.00000     0.997623     0.992552     0.984672
     0.973784     0.959599     0.941639     0.919252     0.891672     0.857804
     0.816251     0.765093     0.701820     0.623144

     0.196232     0.305267     0.414205     0.516756     0.609936     0.692553
     0.764399     0.825757     0.877105     0.918961     0.951802     0.976081
     0.992037      1.00000      1.00000     0.992037     0.976081     0.951802
     0.918961     0.877105     0.825757     0.764399     0.692553     0.609936
     0.516756     0.414205     0.305267     0.196232
